id,name,role,profession,family,p_index,year
84,[lu₂-dingir]-ra,"[""['source']"", ""['recipient']""]",,"['', '']","['123400', '131055']","['66.0920', '70.0630']"
85,[lu₂-{d}nin-gir₂-su,"['', '']",kurušda[fattener],"['', '']","['273524', '124931']","['83.1000', '84.0800']"
86,[lu₂-{d}suen?],"['', '']",,"['', '']","['117298', '107925']","['76.0223', '76.1215']"
87,[lu₂]-dingir-ra,"['', ""['recipient']"", '', '']",,"['', '', '', '']","['103755', '111977', '115411', '128135']","['', '63.0201', '67.0229', '67.1217']"
88,[maš-tur,"['', '']",šagia[cup-bearer],"['', '']","['116195', '116195']","['70.1001', '70.1001']"
89,[na]-lu₅,"['', ""['recipient']"", ""['recipient']""]",,"['', '', '']","['112326', '124400', '125927']","['71.1114', '73.1000', '75.0300']"
90,[na]-sa₆,"[""['recipient']"", '', ""['recipient']"", ""['recipient']"", ""['recipient']"", ""['recipient']"", ""['recipient']"", ""['recipient']""]",,"['', '', '', '', '', '', '', '']","['303637', '320502', '320541', '117213', '106859', '272560', '123479', '106314']","['', '61.0500', '62.0000', '63.0500', '64.1005', '65.0500', '65.0900', '65.1000']"
91,[nir]-i₃-da-gal₂,"['', '', '']",,"['', '', '']","['123488', '109223', '111797']","['', '66.1120', '74.0912']"
92,[nu-ur₂-{d}suen],"['', '', '', '', '']",,"['', '', '', '', '']","['102340', '126004', '292477', '101454', '107970']","['81.0629', '83.0713', '84.0114', '84.1200', '84.1214']"
93,[nu]-ur₂-{d}iškur,"['', ""['representative']""]",šagia[cup-bearer],"['', '']","['330633', '106043']","['', '79.0512']"
94,[nu]-ur₂-{d}suen,"['', ""['intermediary']""]",dubsar[scribe],"['', '']","['126533', '127315']","['75.1208', '79.0920']"
95,[ur-ku₃]-nun-na,"[""['recipient']"", '', '', '', '']",,"['', '', '', '', '']","['104102', '103839', '134956', '106065', '249019']","['68.0700', '79.1128', '84.1126', '85.1200', '85.1200']"
96,[ur-mes],"['', '']",,"['', '']","['135116', '106360']","['76.0800', '77.0126']"
97,[ur-nigar{gar}],"['', '']",,"['', '']","['123501', '123286']","['', '66.0614']"
98,[ur-{d}]ba-ba₆,"['', ""['representative']""]",muhaldim[cook],"['', '']","['134699', '126611']","['', '72.0727']"
99,[ur-{d}li₉-si₄],"['', '']",,"['', '']","['107989', '114339']","['', '']"
100,[ur-{d}šul-pa-e₃],"['', '', '']",,"['', '', '']","['143885', '104732', '211368']","['66.1200', '78.0300', '84.1218']"
101,[ur]-ku₃-nun-na,"['', ""['recipient']"", ""['recipient']"", '', '', ""['recipient']""]",,"['', '', '', '', '', '']","['104266', '134947', '125695', '118529', '104251', '108667']","['', '71.1200', '84.0202', '84.0600', '85.0700', '85.1000']"
102,[ur]-mes,"['', '']",ensik[ruler],"['', '']","['128944', '134698']","['', '']"
103,[ur]-mes,"['', '', '']",,"['', '', '']","['128145', '126670', '218190']","['69.0121', '77.0120', '78.0900']"
104,[ur]-nigar#{gar},"['', '', '', '', '']",,"['', '', '', '', '']","['123631', '107598', '212140', '107752', '134983']","['62.0618', '63.0624', '65.0100', '67.0920', '67.1010']"
105,[ur]-nigar{gar},"['', '', '']",,"['', '', '']","['123522', '143122', '134274']","['64.0407', '69.0200', '69.0403']"
106,[u₂-na-ab-še-en₆],"['', '', '']",,"['', '', '']","['106262', '113862', '201119']","['82.0623', '85.0727', '86.0219']"
107,[ze₂]-lu-uš-{d}da-gan,"['', '']",,"['', '']","['123469', '100232']","['65.0511', '71.0915']"
108,[zi-ga]-am₃,"['', '']",,"['', '']","['117422', '416192']","['', '76.1200']"
109,[{d}]en-lil₂-la₂,"[""['recipient']"", ""['recipient']"", ""['recipient']""]",,"['', '', '']","['218183', '104690', '115484']","['64.0300', '74.0400', '77.1114']"
110,[{d}]en-lil₂-zi-ša₃-gal₂,"['', ""['representative']""]",,"['', '']","['125955', '104690']","['', '74.0400']"
111,[{d}]nanše-GIR₂@g-gal,"[""['representative']"", ""['representative']""]",,"['', '']","['123397', '135086']","['63.1207', '71.0115']"
112,[{d}]suen#-a-bu-šu,"['', ""['representative']"", ""['representative']"", ""['representative']""]",šagia[cup-bearer],"['', '', '', '']","['129392', '145557', '145557', '332380']","['', '75.0000', '75.0000', '79.0413']"
113,[{d}]šul#-gi-a-a-mu,"[""['recipient']"", '', ""['recipient']""]",,"['', '', '']","['109571', '107805', '102321']","['67.1110', '70.0904', '70.1010']"
114,[{d}]šul-gi-iri-mu,"['', '', '', '', '', '', ""['representative']"", '', '', '', '']",,"['', '', '', '', '', '', '', '', '', '', '']","['103573', '145577', '102707', '124180', '433572', '133965', '134172', '124223', '107939', '135014', '106134']","['', '', '69.0620', '70.1122', '72.1100', '72.1208', '72.1224', '74.0406', '78.1011', '79.0410', '83.0205']"
115,[{d}]šul-gi-{d}lamma-mu,"['', '']",kuš[official],"['', '']","['126313', '129389']","['', '81.0728']"
116,[{d}amar]-{d}suen,"['', '', '', '', '', '']",,"['', '', '', '', '', '']","['416445', '210278', '105975', '141783', '145833', '145834']","['', '72.0800', '74.0402', '75.0000', '76.0115', '76.0418']"
117,[{d}be-la-at-suh-ner],"['', '']",,"['', '']","['107255', '107256']","['81.0500', '81.1100']"
118,[{d}en-lil₂]-la₂#,"['', '']",,"['', '']","['112088', '320525']","['74.1001', '78.0900']"
119,[{d}nanna-ma-ba],"['', '', ""['intermediary']"", '', '', '', '']",,"['', '', '', '', '', '', '']","['210278', '106262', '201308', '125651', '332040', '113862', '201119']","['72.0800', '82.0623', '84.0603', '84.0901', '84.1000', '85.0727', '86.0219']"
120,[{d}nin-ti₂-ug₅]-ga,"['', '']",,"['', '']","['143717', '423350']","['64.0423', '81.0213']"
121,[{d}šara₂]-kam,"['', '']",,"['', '']","['104631', '114330']","['', '']"
122,[{d}šara₂]-kam-ta,"[""['source']"", ""['source']""]",,"['', '']","['125635', '106137']","['68.1200', '72.0100']"
123,[{d}šul-gi-iri-mu],"['', '']",,"['', '']","['102356', '235323']","['73.0504', '79.0830']"
124,[{d}šul-gi-iri]-mu,"['', '']",,"['', '']","['107263', '200578']","['', '76.0300']"
125,[{d}šul-gi]-iri-mu,"[""['representative']"", '']",,"['', '']","['125945', '321009']","['67.0506', '74.0518']"
126,[{d}šul]-gi-iri-mu,"['', '']",,"['', '']","['109628', '102189']","['70.0622', '71.1219']"
127,[šeš]-da-da,"['', '']",,"['', '']","['123412', '123261']","['63.0917', '65.0515']"
128,[šu]-ma-ma,"['', ""['recipient']"", '']",,"['', '', '']","['136225', '122174', '210381']","['', '72.0418', '72.1118']"
129,a#-a-kal-la,"[""['representative']"", ""['representative']"", ""['recipient']"", ""['representative']""]",,"['', '', '', '']","['113454', '330458', '127425', '105879']","['64.0115', '64.0124', '69.0111', '70.0314']"
130,a#-hu#-[ni],"['', '']",,"['', '']","['112327', '405504']","['77.0915', '77.0915']"
131,a-a-dingir,"[""['intermediary']"", ""['intermediary']"", '', ""['recipient']"", ""['recipient']"", '', ""['recipient']"", '', '', ""['intermediary']"", ""['intermediary']"", '', '', ""['recipient']"", ""['intermediary']"", ""['intermediary']"", '', ""['recipient']"", ""['intermediary']"", ""['intermediary']"", ""['intermediary']"", ""['intermediary']"", '', '', ""['recipient']"", ""['intermediary']""]",,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","['103256', '104135', '104225', '108690', '115917', '129507', '129509', '134774', '414539', '115454', '103200', '103200', '145114', '134236', '102915', '303361', '131568', '102886', '106041', '125742', '125633', '117195', '145042', '129518', '118459', '103558']","['', '', '', '', '', '', '', '', '', '72.0600', '73.0716', '73.0716', '75.0000', '76.0100', '77.0400', '77.0605', '77.0900', '77.1127', '78.0900', '78.0900', '79.0800', '81.1200', '82.0727', '85.0625', '86.0000', '86.1100']"
132,a-a-dingir-mu,"['', ""['intermediary']"", ""['intermediary']""]",šagia[cup-bearer],"['', '', '']","['113173', '142158', '128134']","['', '65.0100', '67.1027']"
133,a-a-dingir-mu,"['', ""['representative']"", ""['representative']""]",,"['', '', '']","['108693', '123397', '303751']","['61.0600', '63.1207', '64.0213']"
134,a-a-dingir-ta,"[""['source']"", ""['source']"", ""['source']"", ""['source']"", ""['source']"", ""['source']"", ""['source']"", ""['source']"", '', ""['source']"", '', ""['source']"", ""['source']"", ""['source']"", ""['source']"", ""['source']"", ""['source']"", ""['source']"", ""['source']"", ""['source']"", ""['source']"", ""['source']"", ""['source']""]",,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","['102920', '104225', '129507', '131625', '145114', '332324', '112155', '115904', '406782', '106258', '104394', '117178', '115614', '144575', '144583', '106059', '126394', '118534', '118527', '126384', '103279', '104260', '124575']","['', '', '', '', '75.0000', '77.1206', '78.0100', '78.0100', '78.0100', '78.0300', '78.0800', '78.0800', '78.1000', '78.1000', '78.1000', '84.0100', '84.0500', '84.0700', '84.1100', '84.1200', '85.0024', '85.1200', '86.0500']"
135,a-a-ha-ma-ti,"[""['intermediary']"", '']",,"['', '']","['144303', '144566']","['74.1000', '78.0800']"
136,a-a-i₃-li₂-šu,"['', '']",,"['', '']","['117288', '292620']","['', '68.1100']"
