name,role,profession,family,p index,year
ARADâ‚‚-mu,['representative'],,,303795,
ARADâ‚‚-mu,['representative'],,,320496,
ARADâ‚‚-mu,['representative'],,,320497,
ARADâ‚‚-mu,['representative'],,,320497,
ARADâ‚‚-mu,['representative'],,,320497,
ARADâ‚‚-mu,['representative'],,,320497,
ARADâ‚‚-mu,['representative'],,,320497,
ARADâ‚‚-mu,['representative'],,,320497,
ARADâ‚‚-mu,['representative'],,,320497,
ARADâ‚‚-mu,['representative'],,,320497,
ARADâ‚‚-mu,['representative'],,,320497,
ARADâ‚‚-mu,['representative'],,,320497,
ARADâ‚‚-mu,['representative'],,,332030,
ARADâ‚‚-mu,['representative'],,,332030,
ARADâ‚‚-mu,['representative'],,,332038,
ARADâ‚‚-mu,,,,332133,
ARADâ‚‚-mu,['representative'],,,391013,
ARADâ‚‚-mu,,,,406817,
ARADâ‚‚-mu!,,,,122148,
ARADâ‚‚-mu!,['representative'],,,134691,76.0317
ARADâ‚‚-mu#,['representative'],,,320497,
ARADâ‚‚-mu#,,,,142788,66.122
ARADâ‚‚-mu#,,maÅ¡kim[administrator],,126179,68.0705
ARADâ‚‚-mu#,,maÅ¡kim[administrator],,102015,70.0816
ARADâ‚‚-mu#,,maÅ¡kim[administrator],,108797,73.082
ARADâ‚‚-mu#,,,,218203,80.12
ARADâ‚‚-mu-ta#,['source'],,,202367,
ARADâ‚‚-mu-ta,['source'],,,332073,67.09
ARADâ‚‚-mu-ta,['source'],,,107897,74.08
ARADâ‚‚-mu,['representative'],,,118422,18
ARADâ‚‚-mu,,,,126259,18.0003
ARADâ‚‚-mu,['representative'],,,126259,18.0003
ARADâ‚‚-mu,,maÅ¡kim[administrator],,123697,18.0824
ARADâ‚‚-mu,['representative'],,,412630,59.07
ARADâ‚‚-mu,['representative'],,,143516,60.0109
ARADâ‚‚-mu,['representative'],,,332650,60.0126
ARADâ‚‚-mu,['representative'],,,142791,60.1119
ARADâ‚‚-mu,['representative'],,,332346,60.1219
ARADâ‚‚-mu,['representative'],,,127837,61.0117
ARADâ‚‚-mu,['representative'],,,123633,61.0228
ARADâ‚‚-mu,['representative'],,,330237,61.0302
ARADâ‚‚-mu,['representative'],,,125483,61.0625
ARADâ‚‚-mu,['representative'],,,124445,62.0318
ARADâ‚‚-mu,['representative'],,,117477,62.0321
ARADâ‚‚-mu,['representative'],,,134081,62.0415
ARADâ‚‚-mu,,,,211514,62.0524
